"mz","time","PeakID","Module_RTclust"
1070.14838,389.5,"Peak9866","23_36"
1070.44607,505.2,"Peak9867","47_29"
1070.65784,409.5,"Peak9868","17_30"
1070.66446,38.6,"Peak9869","19_1"
1071.16103,410,"Peak9870","17_30"
1071.44589,506.3,"Peak9872","47_29"
1071.66458,410.4,"Peak9873","17_30"
1071.73749,37.6,"Peak9874","19_1"
1072.05573,581,"Peak9876","4_43"
1072.16185,409.4,"Peak9877","3_27"
1072.4471,506.3,"Peak9879","20_34"
1072.55327,580.8,"Peak9880","4_43"
1072.65946,40.8,"Peak9881","19_1"
1072.6661,410.9,"Peak9882","17_30"
1072.74575,39.4,"Peak9883","42_1"
1072.91172,32,"Peak9885","19_1"
1073.15742,409.7,"Peak9887","33_29"
1073.55604,575,"Peak9890","42_44"
1073.64909,388.3,"Peak9891","17_29"
1073.78868,36.8,"Peak9892","24_1"
1074.16769,442.4,"Peak9896","10_26"
1074.28742,36.3,"Peak9898","27_1"
1074.44044,39.2,"Peak9900","19_1"
1074.52695,38.5,"Peak9901","19_1"
1074.66005,39.6,"Peak9902","20_1"
1074.74658,38.1,"Peak9903","18_1"
1075.25266,37.8,"Peak9904","22_1"
1075.74576,40,"Peak9907","19_1"
1076.25255,37,"Peak9910","19_1"
1076.52609,37.3,"Peak9911","40_1"
1076.5995,500.1,"Peak9912","47_29"
1076.75301,40.7,"Peak9913","3_1"
1076.75969,474.1,"Peak9914","37_29"
1076.92659,588.6,"Peak9916","4_43"
1077.09353,499.2,"Peak9917","47_29"
1077.60127,500.3,"Peak9920","47_29"
1077.74831,38.4,"Peak9921","26_1"
1078.09599,500.3,"Peak9922","47_29"
1078.12943,373.3,"Peak9923","19_26"
1078.62451,369.7,"Peak9925","17_27"
1078.79854,550.4,"Peak9927","13_37"
1079.12663,369.5,"Peak9929","17_27"
1079.6023,501.6,"Peak9931","47_29"
1079.6291,369.7,"Peak9932","17_27"
1079.75645,36.7,"Peak9933","19_1"
108.0144,473.9,"Peak102","27_30"
108.0437,158.6,"Peak103","3_9"
108.06761,328.7,"Peak104","4_18"
108.08019,558.6,"Peak105","46_74"
108.47814,220.5,"Peak106","8_10"
108.94806,44.8,"Peak107","24_1"
108.97768,171.3,"Peak108","47_7"
1080.13193,369.9,"Peak9935","17_27"
1080.47405,38,"Peak9936","24_1"
1080.62839,369.6,"Peak9938","17_27"
1080.6888,38.8,"Peak9939","47_1"
1081.04461,559.7,"Peak9941","47_33"
1081.1252,369.3,"Peak9942","36_23"
1081.56859,396.3,"Peak9943","19_27"
1081.62907,359.7,"Peak9944","10_22"
1081.65595,410.4,"Peak9945","17_30"
1081.77022,38.3,"Peak9947","19_1"
1082.05259,504.1,"Peak9950","40_36"
1082.27454,38.4,"Peak9954","19_1"
1082.46964,40.2,"Peak9955","19_1"
1082.56721,400,"Peak9956","47_23"
1082.65806,410.1,"Peak9957","45_30"
1082.77248,41.1,"Peak9959","37_1"
1083.04851,502.9,"Peak9961","9_39"
1083.14279,368.4,"Peak9962","17_27"
1083.23709,38.8,"Peak9963","12_1"
1083.47961,438.6,"Peak9964","47_26"
1083.56384,402.5,"Peak9965","29_28"
1083.72895,37.2,"Peak9968","19_1"
1084.1065,433.4,"Peak9970","4_27"
