"","x"
"198.48215_40.6",1101
"198.86133_43.1",411
"198.90856_57",1692
"198.93932_35.7",463
"199.01443_164.2",851
"199.02838_212.2",2040
"199.10016_61.8",480
"199.12218_566.4",436
"199.12422_101.4",188
"199.1319_261.8",255
"199.14324_55.4",1134
"199.14741_505.6",558
"199.16841_382.1",1807
"199.17975_523.8",168
"199.9273_51.4",862
"199.95365_35.5",345
"199.98718_554.8",438
"200.03222_180.3",1176
"200.03989_39.5",262
"200.06759_41.4",598
"200.0814_196.2",341
"200.10108_61.5",191
"200.12719_151.7",974
"200.16382_185",464
"200.1639_490.6",479
"200.17221_335.4",767
"200.20005_546.3",989
"200.23677_297.5",1137
"200.8584_43.1",406
"200.97145_153",643
"201.05376_299.6",680
"201.07238_244.2",265
"201.12503_300.3",801
"201.14762_255.1",451
"201.16303_505.6",1138
"201.20337_378.7",1886
"201.98993_185.5",1004
"202.02859_177.5",1226
"202.04661_63.1",835
"202.05717_327.7",941
"202.12123_194.4",162
"202.14287_149.9",346
"202.17907_268.5",367
"202.99545_538.8",359
"203.00615_46.4",1137
"203.05181_44.6",373
"203.05818_322.5",703
"203.08071_45.8",409
"203.09023_218.9",357
"203.12649_247.3",158
"203.1421_277.3",397
"203.1993_280.5",531
"203.22277_39.2",872
"204.03224_91.8",989
"204.08403_47.2",301
"204.13738_387.2",227
"204.95646_37.5",543
"205.01634_489.1",513
"205.02412_170.4",2047
"205.0592_74",132
"205.08508_397.7",613
"205.09623_44.3",593
"205.12144_299.1",401
"205.12552_43.7",292
"205.14407_557.9",309
"205.15804_275",333
"205.16913_545.7",323
"205.86144_60.1",332
"205.96126_49.8",234
"206.04723_91.1",304
"206.08022_79.5",258
"206.0997_44.8",990
"206.1168_47.5",563
"206.15108_277.3",3372
"206.19179_529.5",961
"206.89306_42.1",382
"206.94792_64.8",266
"207.01339_41.8",245
"207.01691_513.9",1708
"207.10964_48.2",1239
"207.13711_279.6",443
"207.1582_371",937
"207.17344_282.3",435
"207.63761_103.4",1040
"207.85882_59.2",679
"208.0386_35.4",337
"208.05399_96.8",956
"208.06861_423.4",275
"208.09694_108.3",1201
"208.16894_557.2",449
"208.18979_224.6",417
"208.89009_42.4",446
"209.02502_35.3",576
"209.07191_43.7",263
"209.09139_50.6",485
"209.11625_293",734
"209.12748_63",329
"209.13728_251",188
"209.15284_547.9",287
"209.94514_525.1",334
"210.0493_42.9",1332
"210.06141_47.1",623
"210.11962_322.5",367
"210.15621_557.7",735
"210.16894_252.5",335
"210.18466_539.8",433
"210.88719_41.7",304
"211.00266_90.6",243
"211.06801_56.5",865
"211.09563_161.1",331
"211.13201_344.9",228
"211.14325_80.6",446
"211.14705_507.6",467
"211.1683_279.6",488
"211.92691_44.5",237
"211.97104_35.2",365
"211.98683_508.2",259
"212.04767_65.1",624
"212.11738_51.3",469
"212.16372_561.8",496
"212.19997_119.4",344
"212.83818_43.3",354
"212.99866_43.5",410
"213.01751_35.3",1096
"213.11106_261.4",398
"213.13794_351.5",1042
"213.14746_353.1",882
"213.163_505.5",868
"213.17198_60",946
"213.18409_190.1",437
"213.98203_446.3",1429
"213.98205_42.4",586
"214.00269_34.6",1496
"214.05547_48.2",783
"214.06444_90.1",1355
"214.14266_82.6",267
"214.16748_507",516
"214.17922_173.4",243
"214.25215_308.8",401
"214.83519_43.3",487
"214.91682_35.9",458
"214.98513_512.2",323
"214.98516_44.6",1851
"215.06301_331.4",3069
"215.1246_533.1",259
"215.16328_271.7",388
"215.17853_316",740
"215.19956_338.8",1821
"215.97906_35.8",551
"216.01435_41.7",406
"216.15853_160.2",318
