"mz","time","rep1","rep2","rep3"
102.5353722,62.65893173,343815.9375,187771.1094,269996.8125
122.5470799,62.77389908,1579012.5,0,1061540.625
103.0944657,63.04169846,0,34487.61719,9817.72168
137.0133118,63.04169846,0,40754.08594,62815.96875
74.03226113,63.16486613,10163.03613,4763.926758,8376.277344
95.54544516,63.25073242,15653.37598,7571.088379,11195.5498
280.983481,63.5664978,15154.33203,0,2351.642822
99.04223418,64.44269943,0,11915.94434,4724.166504
102.0291376,64.62473297,33522.87891,14212.47949,23098.69922
312.9428403,64.70873388,35453.80469,25644.26953,22256.48047
171.0342588,65.07029851,28377.58594,13620.76172,10403.99121
114.5583108,65.07715034,207697.0781,0,98252.07813
122.5507905,65.10716883,12232.38574,7452.295898,7597.347168
158.0027453,65.16813278,168672.3125,90833.96094,127732.125
110.0118779,65.58820152,10663.38867,5113.874512,0
104.0301357,66.02626928,90457.46875,46300.71094,77009.46875
437.9084324,66.54306539,10956.99805,4255.156738,5669.936035
158.0027491,66.92373149,168672.3125,76300.32813,141335.4219
94.54352991,67.04219945,16239.53809,10651.08398,10428.87305
102.0148614,67.15446599,7830.318848,5244.234375,5593.73291
167.0127376,67.51846822,1145585.875,659186.1875,719267.1875
221.0166417,67.5337321,24930.99609,4391.26123,4124.625488
103.031647,68.09426626,25909,12278.55176,16972.28711
122.547071,68.48286692,1579012.5,925229.5625,1224143.75
114.5582905,68.57816442,207697.0781,100676.6016,119655.5313
114.558292,69.48056666,207697.0781,121379.0859,75507.85156
102.0376057,69.98293304,35034.69141,18403.77344,28109.9043
192.0615331,70.07526652,25866.68555,17695.37109,13323.07227
110.0094429,70.10636775,7662.522949,4254.973633,6351.52002
168.0159352,70.13380051,36922.84766,23650.61133,24508.04688
115.0599338,70.56159846,18136.00391,7778.563965,9446.786133
94.54560066,70.94890213,178432.0313,89479.3125,153168.1094
103.0337303,71.20259857,5288.463379,2815.114014,3788.550537
183.988262,71.22400157,13331.29297,16248.67676,15973.89453
180.0379184,71.28149986,0,27130.08594,14754.15039
124.5434197,72.59400177,24866.3457,16835.58398,22513.98047
143.0394143,72.74879964,36824,22982.79297,16595.48633
249.0116358,73.45126597,7423.796875,3241.195068,4851.412109
102.0196659,73.48220062,9250.338867,5269.34668,8092.922363
209.0425153,73.91806539,9369.083984,6599.213379,5291.949219
154.9900228,74.00239944,48100.39063,17052.5332,39977.57031
102.0410338,74.27219772,0,11048.46973,14510.7793
123.0401918,74.31240082,13607.00195,4024.625488,10328.4834
